College Code,College Name,Address,Phone Number,Pincode,Principal,Fees,Hostel Stats,Hostel for Boys,Hostel for Girls,Co-education,Cutoff,Government Type,Senior Phone Number
C001,MNO School of Business,"606, Pine Street, City I",9456127890,750464,Prof. Anjali Patel,36159,Available for Both,No,No,Yes,"['College_120', 'College_121']",Self-financed,9988776655
C002,PQR College of Arts,"404, Oak Street, City G",9045671234,166582,Dr. Neha Bhatia,34228,Available for Both,No,No,No,"['College_99', 'College_100']",Self-financed,9008765432
C003,PQR College of Arts,"456, High Road, City B",9123456789,273502,Prof. Sandeep Jha,46640,Not Available,No,No,No,"['College_131', 'College_132']",Self-financed,9301234567
C004,MNO School of Business,"606, Pine Street, City I",9008765432,422185,Prof. Vikram Singh,28015,Available for Both,No,No,Yes,"['College_157', 'College_158']",Government,9008765432
C005,UVW Institute of Design,"202, River Road, City E",9988776655,499536,Dr. Manisha Rao,45435,Limited,No,No,Yes,"['College_132', 'College_133']",Self-financed,9234567890
C006,MNO School of Business,"202, River Road, City E",9234567890,278770,Prof. Sunita Verma,33482,Available for Both,No,No,No,"['College_112', 'College_113']",Government,9876543210
C007,PQR College of Arts,"202, River Road, City E",9456127890,204617,Dr. Praveen Mehta,31370,Available for Girls,No,Yes,Yes,"['College_191', 'College_192']",Government-aided,9609876543
C008,MNO School of Business,"505, Maple Street, City H",9609876543,135181,Dr. Rajesh Kumar,46951,Available for Boys,Yes,No,No,"['College_189', 'College_190']",Self-financed,9456127890
C009,GHI Institute of Management,"303, Elm Street, City F",9609876543,955291,Dr. Praveen Mehta,26482,Available for Boys,Yes,No,Yes,"['College_140', 'College_141']",Government-aided,9008765432
C010,MNO School of Business,"123, Main Street, City A",9301234567,239127,Prof. Sunita Verma,49892,Limited,No,No,No,"['College_119', 'College_120']",Self-financed,9182736450
C011,MNO School of Business,"101, Sunset Boulevard, City D",9234567890,532555,Prof. Anjali Patel,34321,Limited,No,No,No,"['College_123', 'College_124']",Government-aided,9008765432
C012,PQR College of Arts,"707, Birch Street, City J",9234567890,447787,Prof. Anjali Patel,26747,Available for Both,No,No,No,"['College_188', 'College_189']",Government-aided,9234567890
C013,RST College of Medical Sciences,"456, High Road, City B",9182736450,357388,Dr. Neha Bhatia,42131,Available,No,No,No,"['College_111', 'College_112']",Government,9609876543
C014,JKL College of Law,"505, Maple Street, City H",9045671234,649014,Prof. Vikram Singh,21560,Available for Girls,No,Yes,No,"['College_149', 'College_150']",Government-aided,9988776655
C015,ABC College of Engineering,"606, Pine Street, City I",9234567890,872935,Prof. Sandeep Jha,23697,Available for Girls,No,Yes,Yes,"['College_143', 'College_144']",Self-financed,9045671234
C016,MNO School of Business,"707, Birch Street, City J",9456127890,636544,Dr. Neha Bhatia,39884,Limited,No,No,No,"['College_125', 'College_126']",Self-financed,9045671234
C017,JKL College of Law,"303, Elm Street, City F",9301234567,231377,Prof. Sunita Verma,31865,Available for Girls,No,Yes,No,"['College_138', 'College_139']",Government,9456127890
